2024-05-08 15:13:03.078 | INFO     | maa:my_callback:110 | {'device': 'Aur3'} - [基建] Dorm@2: ['夜莺']
2024-05-08 15:13:03.078 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::InfrastDormTask", "details": {"candidates": [], "facility": "Dorm", "index": 2, "names": ["\u591c\u83ba"]}, "subtask": "InfrastDormTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919", "what": "CustomInfrastRoomOperators"}}
2024-05-08 15:13:03.486 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 407, "max": 645, "min": 323}, "uuid": "964a0e3098094919", "what": "ScreencapCost"}}
2024-05-08 15:13:06.761 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskError", "details": {"class": "asst::ProcessTask", "details": {}, "first": ["InfrastOperListTabMoodDoubleClickWhenUnclicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:07.428 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.994282}, "task": "InfrastClearButton"}, "first": ["InfrastClearButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:08.542 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.994282}, "task": "InfrastClearButton"}, "first": ["InfrastClearButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:10.154 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2, "result": {"score": 0.946819}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:10.255 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2, "result": {"score": 0.946819}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:11.174 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:11.274 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:12.178 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::ProcessTask", "details": {"exec_times": 2, "limit_type": "pre", "max_times": 2, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919", "what": "ExceededLimit"}}
2024-05-08 15:13:13.281 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 399, "max": 640, "min": 323}, "uuid": "964a0e3098094919", "what": "ScreencapCost"}}
2024-05-08 15:13:13.754 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.956448}, "task": "InfrastSortByTrustButton"}, "first": ["InfrastSortByTrustButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:13.854 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.956448}, "task": "InfrastSortByTrustButton"}, "first": ["InfrastSortByTrustButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:14.764 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:15.871 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:17.276 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.978153}, "task": "InfrastOperListTabWorkStatusUnClicked"}, "first": ["InfrastOperListTabMoodClick", "InfrastOperListTabWorkStatusUnClicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
