2025-01-11 00:44:33.995 | INFO     | maa_streamlit.maa:my_callback:63 | {'profile': 'kaka'} - ⏩ StartUp
2025-01-11 00:44:34.000 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.TaskChainStart", "details": {"taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:44:34.002 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::StartGameTaskPlugin", "details": {}, "subtask": "StartGameTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:44:35.774 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::StartGameTaskPlugin", "details": {}, "subtask": "StartGameTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:44:36.367 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "StartUpBegin"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:44:36.368 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "StartUpBegin"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:44:50.952 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 15, "max": 21, "min": 13}, "uuid": "1694094529805317", "what": "ScreencapCost"}}
2025-01-11 00:44:59.318 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.998038}, "task": "GameStart"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUpBegin", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:02.420 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.998038}, "task": "GameStart"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUpBegin", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:06.267 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.997678}, "task": "StartToWakeUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@GameStart", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:06.368 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.997678}, "task": "StartToWakeUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@GameStart", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:08.872 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 15, "max": 21, "min": 13}, "uuid": "1694094529805317", "what": "ScreencapCost"}}
2025-01-11 00:45:24.183 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 14, "max": 21, "min": 13}, "uuid": "1694094529805317", "what": "ScreencapCost"}}
